id,x,y
1.71746601E8,4606869.236214569,5826208.888640559
1.71751401E8,4596945.540291569,5816937.102468956
1.71754501E8,4603655.012246839,5820809.505912594
1.71756601E8,4585047.341715556,5813989.111769097
1.71761101E8,4601868.949140088,5823279.939988624
1.71768901E8,4607843.2836556835,5821885.127047273
1.71777501E8,4590349.54161285,5827277.038091685
1.71786301E8,4585946.25935591,5810620.062129939
1.71793701E8,4598382.254251145,5825874.0079330625
1.71822901E8,4602382.571798243,5824811.221585355
1.71830201E8,4606683.736638473,5813739.894576404
1.71838801E8,4607984.749011615,5824956.34991925
1.71841901E8,4605580.707044026,5822235.978995445
1.71846301E8,4591311.88950193,5816124.908104965
1.71864701E8,4587949.782069124,5820663.258106926
1.71865501E8,4596360.260345087,5825179.395829032
1.71894701E8,4598558.901015881,5821285.6012048805
1.71895301E8,4592301.532386602,5821936.229793208
1.71901201E8,4593070.981516089,5819636.232602904
1.71901801E8,4602408.6691294415,5820932.061238665
1.71911701E8,4597981.897579646,5826993.4714231575
1.71921401E8,4593655.272455786,5814538.153275929
1.71942201E8,4580601.444927021,5825680.609771827
1.71949601E8,4585761.115542238,5814000.135039522
1.71961401E8,4593410.910640074,5824173.625088241
1.71975501E8,4589725.416577127,5818929.221612588
1.71981201E8,4581452.4844344,5825073.29619811
1.71982001E8,4587863.653943692,5834946.620342652
1.72015301E8,4601016.636699724,5820653.796774041
1.72023601E8,4595519.001828348,5822405.482441385
1.72028401E8,4590395.353282801,5822374.194028857
1.72035701E8,4585764.402032464,5820303.494992831
1.72052501E8,4593387.259566284,5819218.217100613
1.72087401E8,4600440.17223397,5812174.411638838
1.72091701E8,4588002.993876472,5819679.4306441555
1.72099101E8,4598523.298536482,5824642.177792767
1.72114101E8,4607009.972076599,5822972.065612034
1.72125101E8,4584011.1169803655,5810644.086386455
1.72125701E8,4589414.466534879,5815453.789302453
1.72130001E8,4596305.109575705,5815609.074512322
1.72138901E8,4586810.721913917,5829515.078476428
1.72142601E8,4586132.914894078,5813041.242301888
1.72143901E8,4594880.169787439,5822813.009203674
1.72158301E8,4592667.997594198,5818219.0443093525
1.72158601E8,4601026.10033766,5810356.553152394
1.72171601E8,4597875.531859289,5817364.624202575
1.72180101E8,4578037.665508788,5822937.470505183
1.72198201E8,4598820.674209176,5818203.10525145
1.72199801E8,4595193.455666266,5829024.961640267
1.72209801E8,4604458.122380452,5827479.975347621
1.72221201E8,4606308.208761406,5813041.8535293
1.72224301E8,4599152.545130488,5818271.970444382
1.72228101E8,4589813.97357832,5830137.504408795
1.72228501E8,4590627.524680739,5827463.783483433
1.72243401E8,4588070.93562928,5821609.632976324
1.72244601E8,4589748.668852301,5828719.149346381
1.72255401E8,4583896.92259253,5832843.520519139
1.72266701E8,4594004.73102177,5823158.085884317
1.72269601E8,4598658.051982937,5819319.896273473
1.72278801E8,4588932.302114466,5813217.551136508
1.72281601E8,4600123.83240803,5815429.196855526
1.72283701E8,4598445.690493786,5822249.660330761
1.72331801E8,4598919.16522716,5814157.375700638
1.72345301E8,4583447.646742026,5828922.212361529
1.72353701E8,4583825.502298147,5811303.417813473
1.72361101E8,4606885.190150921,5824574.008436213
1.72362301E8,4585026.538739005,5819906.157639857
1.72365001E8,4586019.977484458,5813849.325935018
1.72366601E8,4592455.68002344,5812822.591032984
1.72383001E8,4585746.916354077,5823504.234322239
1.72397601E8,4588318.452911325,5811307.237890638
1.72404901E8,4595053.046651013,5823223.359854094
1.72413201E8,4591262.918691979,5826823.734385665
1.72420701E8,4595223.058908468,5823277.748167419
1.72446201E8,4597369.377524072,5821604.015483825
1.72467201E8,4603332.768462661,5821023.094099694
1.72485801E8,4576750.087615514,5821392.7260126835
1.72486001E8,4594186.704837565,5818900.698086477
1.72488901E8,4606077.905553619,5809832.468141689
1.72496001E8,4584993.039694372,5821889.1063722605
1.72509701E8,4609242.066578684,5824120.134027131
1.72517201E8,4588829.079618048,5819785.976044968
1.72519601E8,4596000.916223707,5825231.721614587
1.72526001E8,4603892.2914804965,5820588.200272493
1.72535001E8,4590935.530869922,5826410.183339904
1.72569301E8,4590408.202167808,5813313.040067765
1.72574701E8,4599320.237088866,5813361.6960838605
1.72576701E8,4581354.678741766,5820748.563813785
1.72594201E8,4586152.495920402,5823100.956219679
1.72597601E8,4600502.99640513,5823432.9142591
1.72600801E8,4578479.013249328,5824677.649457989
1.72608701E8,4592602.385135631,5822420.0906822635
1.72627801E8,4589041.691429029,5818467.631086165
1.72633901E8,4588613.184873244,5820686.817697625
1.72638601E8,4594210.644046935,5822665.465553924
1.72647801E8,4583171.807835111,5828506.236260404
1.72657601E8,4590931.810093343,5814757.164865474
1.72657801E8,4604450.27394912,5809712.283454594
1.72660101E8,4608424.0845607165,5813562.419890877
1.72668001E8,4608212.993840847,5822290.94578008
1.72705201E8,4588378.802366968,5811857.561341226
1.72714201E8,4580962.354764889,5824916.4273525495
1.72741801E8,4601790.081643806,5825037.35075557
1.72745401E8,4586485.525729462,5817634.698466491
1.72755801E8,4595648.366601274,5813274.503146802
1.72772801E8,4593509.437627003,5821653.403874752
1.72779001E8,4598491.813506764,5819436.83212792
1.72794301E8,4587307.154614871,5816518.482679818
1.72803701E8,4591224.101150827,5830472.479851107
1.72807501E8,4594682.056199192,5824587.525699545
1.72812201E8,4591529.4104682915,5818622.577868107
1.72815001E8,4604395.743759788,5829468.684006659
1.72827101E8,4578531.4285262,5823190.619126163
1.72832801E8,4577760.093491442,5813226.951438266
1.72846401E8,4592229.823271418,5830631.435686471
1.72861601E8,4596354.90460567,5820747.784628267
1.72878401E8,4596131.539309451,5807251.165963878
1.72881601E8,4588962.366669082,5810452.360949461
1.72891101E8,4601115.502708121,5815723.442384222
1.72892401E8,4598663.8374650655,5821847.717206496
1.72932901E8,4586987.398299222,5818301.929842661
1.72943901E8,4590927.531285172,5813694.551149316
1.72959801E8,4595902.972688717,5807112.118816964
1.72961301E8,4593286.774737169,5827499.560107155
1.72994101E8,4590232.025862192,5829838.475839394
1.72996301E8,4596899.799109114,5815638.149334406
1.72999201E8,4604202.151985823,5817454.213815291
1.73010301E8,4597076.981085033,5815670.225371497
1.73016801E8,4598692.437057172,5811646.5020937575
1.73024501E8,4597678.195970989,5823972.762546663
1.73036901E8,4610259.013245511,5821313.634732226
1.73044301E8,4578835.938743255,5823918.224469881
1.73046001E8,4601305.325267629,5826004.068632024
1.73046401E8,4608598.690714614,5822357.713230448
1.73070201E8,4596564.728207813,5823713.691120018
1.73082601E8,4609095.170894322,5813414.56808918
1.73089901E8,4583252.861968503,5821063.549538705
1.73115301E8,4587743.224021895,5821460.382212109
1.73128401E8,4607581.525455746,5822186.317622853
1.73132501E8,4608212.95659321,5824762.145054559
1.73135901E8,4590487.166468594,5831180.613027387
1.73147801E8,4606289.7047088435,5814066.873821503
1.73160401E8,4587345.02809453,5823474.880134727
1.73164701E8,4590793.748071273,5832739.210620837
1.73175401E8,4595064.504601684,5813489.938334258
1.73178201E8,4610778.8640463995,5814064.284080529
1.73179501E8,4600029.250549086,5815627.372698192
1.73187301E8,4606576.320840718,5823559.623273261
1.73187701E8,4601324.2787519405,5809151.159813188
1.73195201E8,4581106.526405434,5824951.976548775
1.73197701E8,4600686.716987619,5822748.231557704
1.73239401E8,4590430.290308799,5813259.617770391
1.73243901E8,4585594.727423354,5820065.078765347
1.73253601E8,4581335.558674254,5822492.665932687
1.73257801E8,4596171.244739851,5818890.900078217
1.73266801E8,4599023.437196617,5821646.506445519
1.73276001E8,4583393.698775205,5832141.091051748
1.73281501E8,4599301.806994114,5818194.0053612925
1.73284401E8,4594710.851518231,5813236.791697152
1.73287701E8,4595195.396544024,5810784.093957062
1.73289801E8,4606412.197455721,5813397.687561496
1.73293901E8,4602594.388839266,5820781.494808135
1.73294601E8,4593723.183947261,5828485.69384565
1.73295701E8,4592224.981336714,5825405.596395663
1.73309901E8,4589034.320110784,5809662.221620866
1.73329501E8,4608890.062749845,5809776.452588952
1.73336101E8,4600775.415980981,5813787.606460349
1.73360201E8,4591532.37444534,5817216.142424954
1.73408801E8,4609172.6545339655,5824147.216589622
1.73416401E8,4589122.0937337745,5817192.256891269
1.73417701E8,4608573.13877653,5814547.318395118
1.73445201E8,4605878.630692101,5818862.603770034
1.73481001E8,4590260.817207543,5823040.824258336
1.73487801E8,4602020.491615532,5823919.13461216
1.73500801E8,4595336.369524881,5810865.150115205
1.73502901E8,4587272.1374989925,5820018.543089155
1.73506301E8,4588828.955874425,5818485.30828493
1.73509901E8,4608617.410010868,5820608.057183658
1.73513601E8,4609407.4095178805,5822254.675622889
1.73532401E8,4595525.4738242095,5820277.616122167
1.73540201E8,4605360.085752378,5809699.721502788
1.73547601E8,4600081.0914209895,5819195.207118742
1.73561001E8,4588628.983530716,5827563.286746861
1.73563901E8,4579724.215105379,5824872.7393153
1.73569401E8,4589979.700532681,5818775.213496377
1.73585601E8,4585182.5460218275,5821253.064352622
1.73593201E8,4591956.2382864505,5823805.848010148
1.73600601E8,4590016.194504994,5810315.998463791
1.73614501E8,4604040.787041065,5821101.637401346
1.73617501E8,4589735.230296463,5814803.814987175
1.73618601E8,4591245.27682543,5816305.0433372315
1.73619001E8,4591909.607430501,5823847.340302758
1.73645001E8,4584970.6575321695,5821723.626294096
1.73646501E8,4587801.147739371,5816241.579244881
1.73659801E8,4586485.468842594,5813665.518474086
1.73660501E8,4602778.112209036,5815627.603669028
1.73662301E8,4602960.918433679,5820594.429768381
1.73670301E8,4608046.209820454,5813749.146534114
1.73684201E8,4597817.894222493,5811179.694393174
1.73689001E8,4600513.372529656,5817707.6536146505
1.73705201E8,4605320.058686783,5827159.056771907
1.73708601E8,4587978.037598656,5830710.064941285
1.73711901E8,4590099.458827486,5822106.224117112
1.73718101E8,4612476.4855555985,5805737.981410703
1.73718301E8,4591420.844188108,5824451.836285676
1.73745501E8,4585203.5627047755,5821129.62992559
1.73755701E8,4590583.283348327,5822312.455307202
1.73769101E8,4581800.142284431,5823914.218981507
1.73775601E8,4585664.8707334995,5821677.3145202445
1.73777501E8,4585798.39496135,5821129.514291252
1.73778901E8,4596033.927929989,5819234.123928589
1.73779401E8,4592197.377234126,5827220.805391553
1.73784201E8,4587138.164894651,5816930.130129293
1.73792201E8,4592566.222114675,5818282.047993977
1.73807501E8,4584987.372444507,5821684.313321666
1.73847401E8,4591184.543136714,5824975.800155793
1.73851301E8,4598713.592011488,5820654.75021393
1.73887301E8,4590950.866853725,5815211.072388478
1.73890201E8,4593140.73602684,5819057.332619699
1.73916101E8,4589635.8898043195,5826931.451337772
1.73920501E8,4598546.618007771,5817904.451820464
1.73930901E8,4586164.2947434895,5812750.565062241
1.73932001E8,4576657.5819157725,5815437.071631285
1.73944801E8,4592011.066845382,5826702.133699395
1.73951401E8,4592788.502811622,5811935.692506142
1.73959501E8,4577287.970267258,5824825.442441026
1.73968901E8,4581935.111151881,5821687.390917552
1.73972101E8,4601867.915346736,5827243.721810082
1.73979901E8,4589288.422441532,5818416.512001538
1.73981601E8,4589173.791977696,5820620.767557135
1.74002301E8,4609608.515446815,5814706.239347943
1.74004101E8,4605048.846738638,5822987.677902939
1.74006201E8,4611270.924588475,5821655.137011559
1.74025701E8,4598703.268460021,5817843.363543053
1.74027801E8,4588880.243647127,5827819.76299836
1.74028501E8,4591334.732596802,5822972.232643141
1.74038001E8,4607613.466931287,5824800.385071162
1.74055701E8,4599705.472597691,5812781.5340779675
1.74097901E8,4598509.8079177085,5817108.20828275
1.74109001E8,4584205.802529261,5811784.081601478
1.74126901E8,4594843.182906938,5822127.45672205
1.74131801E8,4608656.374096938,5809898.106804658
1.74142001E8,4605933.062677339,5826356.910605456
1.74152501E8,4599950.533606101,5825909.629651607
